Id,Station,Address,Latitude,Longitude
81,Appledore,"Appledore, Devon, UK",51.053778,-4.193056
82,Appleford,"Appleford, Oxfordshire OX14, UK",51.640009,-1.2409889
83,Appley Bridge,"Appley Bridge, Lancashire, UK",53.584356,-2.722712
84,Apsley,"Apsley VIC 3319, Australia",-36.9685451,141.08323
85,Arbroath,"Arbroath, Angus, UK",56.559107,-2.591543
86,Archway,"Archway, London N19, UK",51.56548,-0.13479
87,Ardgay,"Ardgay, Highland IV24, UK",57.881213,-4.363214
88,Ardlui,"Ardlui, Argyll and Bute G83, UK",56.301669,-4.722054
89,Ardrossan Harbour,"Ardrossan Harbour, Ardrossan, North Ayrshire KA22, UK",55.6398685,-4.8210877
90,Ardrossan South Beach,"Ardrossan South Beach, Ardrossan, North Ayrshire KA22, UK",55.6414124,-4.8011891
91,Ardrossan Town,"Ardrossan Town, Ardrossan, North Ayrshire KA22, UK",55.6397027,-4.8126526
92,Arena,"Arena, London SE25, UK",51.39152,-0.05832
93,Argyle Street,"Argyle Street, Glasgow, Glasgow City, UK",55.8618535,-4.2725519
94,Arisaig,"Arisaig, Highland PH39, UK",56.909856,-5.843095
95,Arlesey,"Arlesey, Central Bedfordshire, UK",52.015347,-0.26326
96,Armadale,"Armadale, West Lothian EH48, UK",55.897742,-3.702162
97,Armathwaite,"Armathwaite, Cumbria CA4, UK",54.807416,-2.770024
98,Arnos Grove,"Arnos Grove, London N11, UK",51.61645,-0.13304
99,Arnside,"Arnside, Cumbria, UK",54.203808,-2.832755
100,Arram,"Arram, East Riding of Yorkshire HU17, UK",53.883091,-0.417271
101,Arrochar & Tarbet,"Arrochar & Tarbet, Arrochar, Argyll and Bute G83, UK",56.2039605,-4.7227534
102,Arsenal,"Arsenal, London N5, UK",51.55865,-0.10743
103,Arundel,"Arundel, West Sussex BN18, UK",50.855171,-0.555119
104,Ascot,"Ascot, Windsor and Maidenhead SL5, UK",51.4091845,-0.6725824
105,Ascott-Under-Wychwood,"Ascott-under-Wychwood, Oxfordshire OX7, UK",51.865885,-1.563271
106,Ash,"Ash House, Lancaster University, Lancaster, Lancashire LA1 4YT, UK",54.011946,-2.7862717
107,Ashburys,"Ashburys, Manchester M12, UK",53.4716522,-2.1944348
108,Ashchurch,"Ashchurch, Gloucestershire GL20, UK",51.997775,-2.1047349
109,Ashfield,"Ashfield NSW 2131, Australia",-33.8885698,151.1241979
110,Ashford International,"Ashford International, Ashford, Kent TN23, UK",51.1437037,0.8762284
111,Ashford (Middlesex),"Ashford Drive, Plainsboro Township, NJ 08536, USA",40.3263717,-74.5613572
112,Ashley,"Ashley, Altrincham, Cheshire East WA15, UK",53.3560094,-2.3410104
113,Ashtead,"Ashtead, Surrey, UK",51.310684,-0.296968
114,Ashton-Under-Lyne,"Ashton-under-Lyne, UK",53.494245,-2.104057
115,Ashurst,"Ashurst, Hampshire SO40, UK",50.89754,-1.517259
116,Ashurst New Forest,"Ashurst New Forest, New Forest National Park, Southampton, Hampshire SO40, UK",50.8898408,-1.526623
117,Ash Vale,"Ash Vale, Surrey, UK",51.264376,-0.7219719
118,Ashwell & Morden,"Ashwell & Morden, Baldock, Cambridgeshire SG7, UK",52.0307802,-0.1097608
119,Askam,"Askam, Askam-in-Furness, Cumbria LA16, UK",54.1889366,-3.2045107
120,Aslockton,"Aslockton, Nottinghamshire NG13, UK",52.953347,-0.894771
121,Aspatria,"Aspatria, Cumbria CA7, UK",54.763442,-3.333129
122,Aspley Guise,"Aspley Guise, Central Bedfordshire, UK",52.010696,-0.62743
123,Aston,"Aston, South Yorkshire, UK",53.3630179,-1.29214
124,Atherstone,"Atherstone, Warwickshire CV9, UK",52.576614,-1.543763
125,Atherton,"Atherton, UK",53.524011,-2.49227
126,Attadale,"Attadale WA 6156, Australia",-32.0314195,115.8093273
127,Attenborough,"Attenborough, Nottingham, Nottinghamshire NG9, UK",52.906541,-1.231287
128,Attleborough,"Attleborough, Norfolk, UK",52.518064,1.015527
129,Auchinleck,"Auchinleck, East Ayrshire KA18, UK",55.473388,-4.298566
130,Audley End,"Audley End, Essex CB11, UK",52.019705,0.224046
131,Aughton Park,"Aughton Park, Aughton, Lancashire L39, UK",53.5542617,-2.895219
132,Avenue Road,"Avenue Road, Lurgan, Craigavon BT66 7BB, UK",54.4586531,-6.3196682
133,Aviemore,"Aviemore, Highland PH22, UK",57.19449,-3.823812
134,Avoncliff,"Avoncliff, Wiltshire BA15, UK",51.3382755,-2.2821682
135,Avonmouth,"Avonmouth, Bristol, City of Bristol BS11, UK",51.503457,-2.698444
136,Axminster,"Axminster, Devon EX13, UK",50.782727,-2.994937
137,Aylesbury,"Aylesbury, Buckinghamshire, UK",51.815606,-0.8084
138,Aylesbury Vale Parkway,"Aylesbury Vale Parkway, Aylesbury, Buckinghamshire HP18, UK",51.8311642,-0.86016
139,Aylesford,"Aylesford, Kent ME20, UK",51.304309,0.47806
140,Aylesham,"Aylesham, Kent, UK",51.2251035,1.2008551
141,Ayr,"Ayr, South Ayrshire, UK",55.458564,-4.629179
142,Bache,"Bache, Shropshire SY7, UK",52.431615,-2.782749
143,Baglan,"Baglan, Neath Port Talbot, UK",51.619954,-3.814203
144,Bagshot,"Bagshot, Surrey, UK",51.360343,-0.697894
