Id,Year,Activity,Refrigerated,PercentLaden,HGVType,MinWeight,Unit,kgCO2e,kgCO2,kgCH4,kgN2O,kgCO2eWTT
58,2013,HGV,FALSE,100,Rigid,-1,TonneKm,,,,,
59,2013,HGV,FALSE,100,Rigid,-1,km,,,,,
60,2013,HGV,FALSE,100,Rigid,-1,miles,,,,,
61,2013,HGV,FALSE,100,Articulated,3.5,TonneKm,0.08724,0.08647,0.00004,0.00073,0.01869
62,2013,HGV,FALSE,100,Articulated,3.5,km,1.092565762,1.08288,0.000563293,0.009122468,0.23404
63,2013,HGV,FALSE,100,Articulated,3.5,miles,1.758314153,1.742726431,0.000906532,0.01468119,0.37665087
64,2013,HGV,FALSE,100,Articulated,33,TonneKm,0.0617,0.06113,0.00003,0.00054,0.01322
65,2013,HGV,FALSE,100,Articulated,33,km,1.17243278,1.1616,0.00063,0.01020278,0.25115
66,2013,HGV,FALSE,100,Articulated,33,miles,1.88684766,1.86941399,0.001013887,0.016419783,0.404186746
67,2013,HGV,FALSE,100,Articulated,-1,TonneKm,,,,,
68,2013,HGV,FALSE,100,Articulated,-1,km,,,,,
69,2013,HGV,FALSE,100,Articulated,-1,miles,,,,,
70,2013,HGV,FALSE,100,All,-1,TonneKm,,,,,
71,2013,HGV,FALSE,100,All,-1,km,,,,,
72,2013,HGV,FALSE,100,All,-1,miles,,,,,
73,2013,HGV,FALSE,Average,Rigid,3.5,TonneKm,0.58396,0.57775,0.00022,0.00599,0.12509
74,2013,HGV,FALSE,Average,Rigid,3.5,km,0.591150392,0.58487,0.000220392,0.00606,0.12663
75,2013,HGV,FALSE,Average,Rigid,3.5,miles,0.951364336,0.941257025,0.000354686,0.009752625,0.203791231
76,2013,HGV,FALSE,Average,Rigid,7.5,TonneKm,0.35322,0.34947,0.00013,0.00362,0.07566
77,2013,HGV,FALSE,Average,Rigid,7.5,km,0.727571251,0.71984,0.000271251,0.00746,0.15585
78,2013,HGV,FALSE,Average,Rigid,7.5,miles,1.170912428,1.158470185,0.000436537,0.012005706,0.250816262
79,2013,HGV,FALSE,Average,Rigid,17,TonneKm,0.19186,0.18982,0.00007,0.00197,0.0411
80,2013,HGV,FALSE,Average,Rigid,17,km,0.974223211,0.96388,0.000363211,0.00998,0.20869
81,2013,HGV,FALSE,Average,Rigid,17,miles,1.567860279,1.551214495,0.000584531,0.016061253,0.335853999
82,2013,HGV,FALSE,Average,Rigid,-1,TonneKm,0.24796,0.24533,0.00009,0.00254,0.05312
83,2013,HGV,FALSE,Average,Rigid,-1,km,0.8315,0.82267,0.00031,0.00852,0.17812
84,2013,HGV,FALSE,Average,Rigid,-1,miles,1.338169536,1.323959028,0.000498897,0.013711611,0.286656353
85,2013,HGV,FALSE,Average,Articulated,3.5,TonneKm,0.16159,0.15983,0.0001,0.00166,0.03461
86,2013,HGV,FALSE,Average,Articulated,3.5,km,0.890425762,0.88074,0.000563293,0.009122468,0.19074
87,2013,HGV,FALSE,Average,Articulated,3.5,miles,1.433001357,1.417413635,0.000906532,0.01468119,0.306966275
88,2013,HGV,FALSE,Average,Articulated,33,TonneKm,0.08452,0.0836,0.00005,0.00087,0.01811
89,2013,HGV,FALSE,Average,Articulated,33,km,0.99587278,0.98504,0.00063,0.01020278,0.21333
90,2013,HGV,FALSE,Average,Articulated,33,miles,1.602701883,1.585268214,0.001013887,0.016419783,0.343321356
