Id,Year,Activity,TaxiType,Unit,kgCO2e,kgCO2,kgCH4,kgN2O,kgCO2eWTT
1,2013,Taxi,RegularTaxi,PassengerKm,0.144342857,0.143042857,3.57E-05,0.001264286,0.030642857
2,2013,Taxi,RegularTaxi,km,0.20208,0.20026,0.00005,0.00177,0.0429
3,2013,Taxi,BlackCab,PassengerKm,0.15294,0.151726667,3.33E-05,0.00118,0.0325
4,2013,Taxi,BlackCab,km,0.22941,0.22759,0.00005,0.00177,0.04875
