Id,Year,Activity,BusType,Unit,kgCO2e,kgCO2,kgCH4,kgN2O,kgCO2eWTT
1,2013,Bus,LocalBusNonLondon,PassengerKm,0.123218152,0.122158152,0.0001,0.00096,0.02617
2,2013,Bus,LocalBusLondon,PassengerKm,0.083143551,0.082533551,0.00006,0.00055,0.01768
3,2013,Bus,AverageLocalBus,PassengerKm,0.111620737,0.110690737,0.00009,0.00084,0.02371
4,2013,Bus,Coach,PassengerKm,0.02932,0.0287,0.00005,0.00057,0.00615
